Event,Year,ID,Round,KickNum,Success
WC,1982,WC1,Semi-finals,1,1
WC,1982,WC1,Semi-finals,2,1
WC,1982,WC1,Semi-finals,3,1
WC,1982,WC1,Semi-finals,4,1
WC,1982,WC1,Semi-finals,5,1
WC,1982,WC1,Semi-finals,6,0
WC,1982,WC1,Semi-finals,7,0
WC,1982,WC1,Semi-finals,8,1
WC,1982,WC1,Semi-finals,9,1
WC,1982,WC1,Semi-finals,10,1
WC,1982,WC1,Semi-finals,11,0
WC,1982,WC1,Semi-finals,12,1
WC,1986,WC2,Quarter-finals,1,0
WC,1986,WC2,Quarter-finals,2,1
WC,1986,WC2,Quarter-finals,3,1
WC,1986,WC2,Quarter-finals,4,1
WC,1986,WC2,Quarter-finals,5,1
WC,1986,WC2,Quarter-finals,6,1
WC,1986,WC2,Quarter-finals,7,1
WC,1986,WC2,Quarter-finals,8,0
WC,1986,WC2,Quarter-finals,9,0
WC,1986,WC2,Quarter-finals,10,1
WC,1986,WC3,Quarter-finals,1,1
WC,1986,WC3,Quarter-finals,2,1
WC,1986,WC3,Quarter-finals,3,1
WC,1986,WC3,Quarter-finals,4,0
WC,1986,WC3,Quarter-finals,5,1
WC,1986,WC3,Quarter-finals,6,0
WC,1986,WC3,Quarter-finals,7,1
WC,1986,WC4,Quarter-finals,1,1
WC,1986,WC4,Quarter-finals,2,1
WC,1986,WC4,Quarter-finals,3,0
WC,1986,WC4,Quarter-finals,4,1
WC,1986,WC4,Quarter-finals,5,1
WC,1986,WC4,Quarter-finals,6,1
WC,1986,WC4,Quarter-finals,7,1
WC,1986,WC4,Quarter-finals,8,1
WC,1986,WC4,Quarter-finals,9,1
WC,1986,WC4,Quarter-finals,10,1
WC,1990,WC5,Second Round,1,1
WC,1990,WC5,Second round,2,1
WC,1990,WC5,Second round,3,1
WC,1990,WC5,Second round,4,1
WC,1990,WC5,Second round,5,1
WC,1990,WC5,Second round,6,1
WC,1990,WC5,Second round,7,1
WC,1990,WC5,Second round,8,1
WC,1990,WC5,Second round,9,0
WC,1990,WC5,Second round,10,1
WC,1990,WC6,Quarter-finals,1,1
WC,1990,WC6,Quarter-finals,2,0
WC,1990,WC6,Quarter-finals,3,1
WC,1990,WC6,Quarter-finals,4,1
WC,1990,WC6,Quarter-finals,5,0
WC,1990,WC6,Quarter-finals,6,1
WC,1990,WC6,Quarter-finals,7,0
WC,1990,WC6,Quarter-finals,8,0
WC,1990,WC6,Quarter-finals,9,1
WC,1990,WC6,Quarter-finals,10,0
WC,1990,WC7,Semi-finals,1,1
