Event,Year,ID,Round,Winner,Loser,WinScored,LoScored,WinMiss,LoMiss,WinTaken,LoTaken,First,Last,EndOn
WC,1982,WC1,Semi-finals,West Germany,France,5,4,1,2,6,6,L,W,1
WC,1986,WC2,Quarter-finals,France,Brazil,4,3,1,2,5,5,L,W,1
WC,1986,WC3,Quarter-finals,West Germany,Mexico,4,1,0,2,4,3,W,W,1
WC,1986,WC4,Quarter-finals,Belgium,Spain,5,4,0,1,5,5,L,W,1
WC,1990,WC5,Second round,Republic of Ireland,Romania,5,4,0,1,5,5,L,W,1
WC,1990,WC6,Quarter-finals,Argentina,Yugoslavia,3,2,2,3,5,5,W,L,0
WC,1990,WC7,Semi-finals,Argentina,Italy,4,3,0,2,4,5,L,L,0
WC,1990,WC8,Semi-finals,West Germany,England,4,3,0,2,4,5,L,L,0
WC,1994,WC9,Second round,Bulgaria,Mexico,3,1,1,3,4,4,L,W,1
WC,1994,WC10,Quarter-finals,Sweden,Romania,5,4,1,2,6,6,W,L,0
WC,1994,WC11,Final,Brazil,Italy,3,2,1,3,4,5,L,L,0
WC,1998,WC12,Second round,Argentina,England,4,3,1,2,5,5,W,L,0
WC,1998,WC13,Quarter-finals,France,Italy,4,3,1,2,5,5,W,L,0
WC,1998,WC14,Semi-finals,Brazil,Netherlands,4,2,0,2,4,4,W,L,0
WC,2002,WC15,Second round,Spain,Republic of Ireland,3,2,2,3,5,5,L,W,1
WC,2002,WC16,Quarter-finals,South Korea,Spain,5,3,0,1,5,4,W,W,1
WC,2006,WC17,Second round,Ukraine,Switzerland,3,0,1,3,4,3,W,W,1
WC,2006,WC18,Quarter-finals,Germany,Argentina,4,2,0,2,4,4,W,L,0
WC,2006,WC19,Quarter-finals,Portugal,England,3,1,2,3,5,4,W,W,1
WC,2006,WC20,Final,Italy,France,5,3,0,1,5,4,W,W,1
WC,2010,WC21,Second round,Paraguay,Japan,5,3,0,1,5,4,W,W,1
WC,2010,WC22,Quarter-finals,Uruguay,Ghana,4,2,1,2,5,4,W,W,1
WC,2014,WC23,Second round,Brazil,Chile,3,2,2,3,5,5,W,L,0
WC,2014,WC24,Second round,Costa Rica,Greece,5,3,0,1,5,4,W,W,1
WC,2014,WC25,Quarter-finals,Netherlands,Costa Rica,4,3,0,2,4,5,L,L,0
WC,2014,WC26,Semi-finals,Argentina,Netherlands,4,2,0,2,4,4,L,W,1
WC,2018,WC27,Second round,Russia,Spain,4,3,0,2,4,5,L,L,0
WC,2018,WC28,Second round,Croatia,Denmark,3,2,2,3,5,5,L,W,1
WC,2018,WC29,Second round,England,Colombia,4,3,1,2,5,5,L,W,1
WC,2018,WC30,Quarter-finals,Croatia,Russia,4,3,1,2,5,5,L,W,1
EU,1976,EU1,Final,Czechoslovakia,West Germany,5,3,0,1,5,4,W,W,1
EU,1980,EU2,3rd Place,Czechoslovakia,Italy,9,8,0,1,9,9,L,W,1
EU,1980,EU3,Semi-finals,Spain,Denmark,5,4,0,1,5,5,L,W,1
EU,1984,EU4,Semi-finals,Denmark,Netherlands,5,4,0,1,5,5,L,W,1
EU,1992,EU5,Quarter-finals,England,Spain,4,2,0,2,4,4,W,L,0
EU,1996,EU6,Quarter-finals,France,Netherlands,5,4,0,1,5,5,L,W,1
EU,1996,EU7,Semi-finals,Czech Republic,France,6,5,0,1,6,6,L,W,1
EU,1996,EU8,Semi-finals,Germany,England,6,5,0,1,6,6,L,W,1
EU,2000,EU9,Semi-finals,Italy,Netherlands,3,1,1,3,4,4,W,L,0
EU,2004,EU10,Quarter-finals,Portugal,England,6,5,1,2,7,7,L,W,1
EU,2004,EU11,Quarter-finals,Netherlands,Sweden,5,4,1,2,6,6,L,W,1
EU,2008,EU12,Quarter-finals,Turkey,Croatia,3,1,0,3,3,4,L,L,0
EU,2008,EU13,Quarter-finals,Spain,Italy,4,2,1,2,5,4,W,W,1
EU,2012,EU14,Quarter-finals,Italy,England,4,2,1,2,5,4,W,W,1
EU,2012,EU15,Semi-finals,Spain,Portugal,4,2,1,2,5,4,W,W,1
EU,2016,EU16,Round of 16,Poland,Switzerland,5,4,0,1,5,5,L,W,1
EU,2016,EU17,Quarter-finals,Portugal,Poland,5,3,0,1,5,4,W,W,1
EU,2016,EU18,Quarter-finals,Germany,Italy,6,5,3,4,9,9,L,W,1
CA,1993,CA1,Quarter-finals,Colombia,Uruguay,5,3,0,1,5,4,W,W,1
CA,1993,CA2,Quarter-finals,Argentina,Brazil,6,5,0,1,6,6,L,W,1
CA,1993,CA3,Semi-finals,Argentina,Colombia,6,5,0,1,6,6,L,W,1
CA,1995,CA4,Quarter-finals,Colombia,Paraguay,5,4,0,1,5,5,W,L,0
CA,1995,CA5,Quarter-finals,United States,Mexico,4,1,0,2,4,3,W,W,1
CA,1995,CA6,Quarter-finals,Brazil,Argentina,4,2,1,2,5,4,W,W,1
CA,1995,CA7,Final,Uruguay,Brazil,5,3,0,1,5,4,W,W,1
CA,1997,CA8,Quarter-finals,Mexico,Ecuador,4,3,2,3,6,6,L,W,1
CA,1999,CA9,Quarter-finals,Mexico,Peru,4,2,0,2,4,4,W,L,0
CA,1999,CA10,Quarter-finals,Uruguay,Paraguay,5,3,0,1,5,4,W,W,1
CA,1999,CA11,Semi-finals,Uruguay,Chile,5,3,0,1,5,4,W,W,1
CA,2001,CA12,3rd Place,Honduras,Uruguay,5,4,0,1,5,5,L,W,1
CA,2004,CA13,Semi-finals,Brazil,Uruguay,5,3,0,1,5,4,W,W,1
CA,2004,CA14,Final,Brazil,Argentina,4,2,0,2,4,4,L,W,1
CA,2007,CA15,Semi-finals,Brazil,Uruguay,5,4,2,3,7,7,W,L,0
CA,2011,CA16,Quarter-finals,Uruguay,Argentina,5,4,0,1,5,5,L,W,1
CA,2011,CA17,Quarter-finals,Paraguay,Brazil,2,0,1,4,3,4,L,L,0
CA,2011,CA18,Semi-finals,Paraguay,Venezuela,5,3,0,1,5,4,W,W,1
CA,2015,CA19,Quarter-finals,Argentina,Colombia,5,4,2,3,7,7,L,W,1
CA,2015,CA20,Quarter-finals,Paraguay,Brazil,4,3,1,2,5,5,L,W,1
CA,2015,CA21,Final,Chile,Argentina,4,1,0,2,4,3,W,W,1
CA,2016,CA22,Quarter-finals,Columbia,Peru,4,2,0,2,4,4,W,L,0
CA,2016,CA23,Final,Chile,Argentina,4,2,1,2,5,4,W,W,1
